,CodItem,DesCubItem
0,83,PIEDRA DE CORTE DE 5 in
1,91,DISCO DE CORTE PARA AMOLADORA
2,119,DISCO DE CORTE PARA MADERA DE 14 in X 1/16 in
3,130,DISCO DE DESBASTE DE METAL DE 7 in X 1/2 in
4,166,DISCO DE CORTE PARA METAL 7 in
5,208,DISCO DE CORTE PARA MADERA DE 4 1/2 in X 1/16 in
6,322,BROCA ESTANDAR PARA CONCRETO DE 1/2 in X 7 in
7,403,BROCA ESTANDAR PARA CONCRETO DE 1/16 in X 20 cm
8,421,BROCA ESTANDAR PARA CONCRETO DE 1/4 in X 6 in
9,473,BROCA DE ACERO DE 5/8 in
10,486,"BROCAS ESTANDAR PARA CONCRETO DE 3/16 in, 1/4 in, 5/16 in, 3/8 in, 7/16 in X 5 PIEZAS"
11,551,BROCA DE 3/8 in PARA METAL
12,630,BARRENO DE FIERRO DE 7/8 in X 8 in
13,658,DISCO DE DESBASTE DE METAL DE 9 in X 1/2 in
14,674,ESCOBILLA DE CARBON
15,707,ESCOBILLA DE CARBON PARA GENERADOR
16,709,ESCOBILLA CIRCULAR DE ACERO DE 1 5/8 in
17,740,ESCOBILLA DE ALAMBRE
18,1036,DISCO DE LIJA GRUESA N  36
19,1058,ALAMBRE DE ACERO DE PUAS N  16
20,1071,ANGULO DE ACERO ESTRUCTURAL ASTM A36 DE 1/4 X 2 1/2 X 2 1/2 X 20 in
21,1072,ANGULO DE ACERO AL CARBONO LAC ASTM A36 DE 4 in X 4 in X 3/8 in X 6 m
22,1075,ANGULO DE ACERO AL CARBONO LAC ASTM A36 DE 1 1/2 in X 1 1/2 in X 1/8 in X 6 m
23,1076,ANGULO DE ACERO DE 1 1/2 in X 3/32 in X 1/8 in X 6m
24,1092,ANGULO DE ACERO AL CARBONO ASTM A36 DE 4 in X 4 in X 3/8 in
25,1098,ANGULO DE ACERO 1 in X 2 in X 1/2 in X 3/16 in X 6 m
26,1100,ANGULO DE ACERO INOXIDABLE C304 DE 1 1/4 in X 1 1/4 in X 1/8 in X 6 m
27,1105,ANGULO DE ACERO AL CARBONO LAC ASTM A36 DE 6 in X 6 in X 1/2 in X 6 m
28,1134,PLANCHA DE ACERO ESTRUCTURAL LAMINADA EN CALIENTE 6 m X 2.4 m X 8 mm
29,1169,PLANCHA DE ACERO PARA TECHO DE 3 m X 1.05 m X 40 mm DE PERALTE CON UN ESPESOR DE 0.4 mm
30,1170,PLANCHA DE ACERO PARA TECHO DE 1.20 m X 1.05 m X 40 mm DE PERALTE CON UN ESPESOR DE 0.4 mm
31,1173,PLANCHA PLANA DE ACERO INOXIDABLE C-304 LISA DE 1.2 mm X 1.22 m X 2.44 m
32,1175,PLANCHA PLANA DE ACERO INOXIDABLE C-304 LISA DE 1/4 in X 1.22 m X 2.44 m
33,1208,PLANCHA ESTRIADA DE ACERO DE 3 mm X 2.4 m X 1.2 m
34,1335,ANGULO DE ACERO DE 2 in X 2 in X 1/4 in X 6 m
35,1356,CABLE DE ACERO INOXIDABLE DE 1/4 in DE 6 X 19 CON ALMA DE ACERO
36,1359,CABLE DE ACERO FLEXIBLE DE 3/8 in
37,1368,CABLE DE ACERO DE 5/8 in DE 6 X 19 CON ALMA DE ACERO
38,1382,CABLE DE ACERO DE 1/4 in DE 6 X 19 CON ALMA DE ACERO
39,1383,CABLE DE ACERO DE 10 mm X 100 m
40,1387,VARILLA DE ACERO DE 3/8 in X 6 m
41,1390,VARILLA DE ACERO DE 1/2 in X 6 m
42,1392,BARRA DE ACERO REDONDO LISO DE 1 1/4 in X 6 m
43,1394,BARRA DE ACERO REDONDO LISO DE 1/8 in X 6 m
44,1396,BARRA DE ACERO REDONDO LISO DE 3/4 in X 6 m
45,1397,BARRA DE ACERO REDONDO LISO DE 3/8 in X 6 m
46,1399,BARRA DE ACERO REDONDO LISO DE 1 in X 6 m
47,1402,VARILLA DE ACERO DE 5/8 in X 6 m
48,1414,MALLA DE ALAMBRE CUADRADA TEJIDA DE ACERO GALVANIZADO DE 1 in X 1 in X 3/32 in X 1.00 m
49,1418,REJILLA DE ACERO GALVANIZADO ASTM A36 CON PLATINAS DE 3/16 in X 3/4 in DE 4 ft X 8 ft PARA PISO
50,1436,ANGULO DE FIERRO DE 2 in X 2 in X 1/8 in X 6 m
51,1464,PERFIL L DE FIERRO DE 1 1/4 X 1 1/4 in X 1/8 in X 6 m
52,1575,BARRA DE FIERRO CUADRADO LISO DE 5/8 in X 6 m
53,1589,PLANCHA PLANA DE ALUMINIO LISO DE 1/16 in X 1.50 m X 6.20 m
54,1590,PLANCHA PLANA DE ALUMINIO LISO DE 1/16 in X 1.50 m X 4.00 m
55,1632,BARRA DE LATON REDONDO LISO DE 1/4 in X 6 m ASTM B16
56,1648,ALAMBRE DE COBRE N  16
57,1654,ALAMBRE DE COBRE N  8
58,1686,BARRA DE COBRE REDONDO LISO DE 5/8 in X 2.10 m
59,1709,AGITADOR MAGNETICO CON PLANCHA DE CALENTAMIENTO
60,1710,AGITADOR MAGNETICO CON CALENTADOR DIGITAL
61,1716,ARADOS EN GENERAL
62,1717,ARADO DE 0.80 m 1 CUERPO 3 DISCOS
63,1722,GERMINADOR ELECTRICO
64,1731,MOTOGUADANA
65,1734,SELECCIONADORA (OTRAS)
66,1738,SEMBRADORA DE 240 kg 2.50 m 15 LINEAS
67,1739,SEMBRADORA ABONADORA ROTATIVA MANUAL DE 5 kg
68,1743,TRILLADORA
69,1744,TRILLADORA DESGRANADORA
70,1760,TIJERA DE PODAR DE MANO DE 22 cm
71,1780,CILINDRO PARA COMPRESOR DE EQUIPO DE AIRE ACONDICIONADO
72,1797,CONDENSADOR PARA SERPENTIN HORIZONTAL
73,1799,COMPRESOR DE 1/16 HP
74,1806,COMPRESOR DE 4 HP PARA EQUIPO DE AIRE ACONDICIONADO
75,1845,TERMOSTATO CON BULBO CAPILAR DE 50 C A 350 C
76,1888,TERMOSTATO EQUIPO AIRE ACONDICIONADO
77,1890,ANILLO DE CIERRE N  23
78,1891,CONSERVADOR DE FRIO EN SACHETS
79,1901,DAMPER MOTORIZADO
80,1903,VALVULA SOLENOIDE DE 3/8 in PN 8 220 V
81,1929,VALVULA SOLENOIDE POSICION NORMALMENTE ABIERTO DE 220 V 60 Hz 130 PSI
82,1946,CONDENSADOR DE AIRE FORZADO CON VENTILADOR
83,1962,HELICE DE ALUMINIO DE 14 in
84,1966,DIFUSOR DE AIRE PARA SISTEMA DE VENTILACION
85,2031,"CONDENSADOR PARA EQUIPO DE AIRE ACONDICIONADO DE 48,000 BTU"
86,2034,"CONDENSADOR PARA EQUIPO DE AIRE ACONDICIONADO DE 156,000 BTU"
87,2039,POLIETILENO TRANSPARENTE DE 1.40 m DE ANCHO
88,2064,POLIETILENO DE ALTA DENSIDAD DE 20 mm X 4 m APROX
89,2065,PLASTICO DE 1.50 m X 50 m
90,2134,CINTA AISLANTE DE 3/4 in X 20 yd
91,2401,FILTRO DE AGUA DE 40 MICRAS
92,2405,FILTRO DE AGUA TIPO BOLSA DE POLIPROPILENO DE 1 µm
93,2406,FILTRO DE AGUA DE POLIPROPILENO DE 5 MICRAS TIPO HILO
94,2412,JUEGO DE LOSAS Y CODO REFRACTARIOS PARA COCINAS ARTESANALES X 5 PIEZAS
95,2418,BENTONITA SODICA
