,CodProSel,CodPip,FacProSel,DesProSel,TipProSel,FecProSel
0,1,2025925,ADECUADA INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,29/10/2020
1,2,2025925,ADECUADA INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,10/11/2020
2,3,2025925,ADECUADA INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,25/11/2020
3,4,2025925,ADECUADA INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,22/09/2020
4,5,2025925,ADECUADA INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,20/10/2020
5,6,2025925,ADECUADA INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,29/10/2020
6,7,2025925,ADECUADA INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,10/11/2020
7,8,2025925,ADECUADA INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,25/11/2020
8,21,2029303,PLANTA DE PROCESO DE LACTEOS,Fecha de Actuaciones Preparatorias,PROGRAMADA,15/02/2011
9,22,2029303,PLANTA DE PROCESO DE LACTEOS,Fecha de Convocatoria,PROGRAMADA,17/03/2011
10,23,2029303,PLANTA DE PROCESO DE LACTEOS,Fecha de Integracion de Bases,PROGRAMADA,24/03/2011
11,24,2029303,PLANTA DE PROCESO DE LACTEOS,Fecha de Buena Pro,PROGRAMADA,30/03/2011
12,25,2029303,PLANTA DE PROCESO DE LACTEOS,Fecha de Suscripcion de Contrato,PROGRAMADA,4/05/2011
13,26,2029303,PLANTA DE PROCESO DE LACTEOS,Fecha de Actuaciones Preparatorias,ACTUALIZADA,15/02/2011
14,27,2029303,PLANTA DE PROCESO DE LACTEOS,Fecha de Convocatoria,ACTUALIZADA,17/03/2011
15,28,2029303,PLANTA DE PROCESO DE LACTEOS,Fecha de Integracion de Bases,ACTUALIZADA,24/03/2011
16,29,2029303,PLANTA DE PROCESO DE LACTEOS,Fecha de Buena Pro,ACTUALIZADA,30/03/2011
17,30,2029303,PLANTA DE PROCESO DE LACTEOS,Fecha de Suscripcion de Contrato,ACTUALIZADA,4/05/2011
18,51,2030496,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,29/09/2019
19,52,2030496,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,29/10/2019
20,53,2030496,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,8/11/2019
21,54,2030496,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,25/11/2019
22,55,2030496,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,19/12/2019
23,56,2030496,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,29/09/2019
24,57,2030496,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,29/10/2019
25,58,2030496,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,8/11/2019
26,59,2030496,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,25/11/2019
27,60,2030496,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,19/12/2019
28,61,2030522,MOBILIARIO Y EQUIPAMIENTO,Fecha de Actuaciones Preparatorias,PROGRAMADA,16/12/2019
29,62,2030522,MOBILIARIO Y EQUIPAMIENTO,Fecha de Convocatoria,PROGRAMADA,16/03/2020
30,63,2030522,MOBILIARIO Y EQUIPAMIENTO,Fecha de Integracion de Bases,PROGRAMADA,6/05/2020
31,64,2030522,MOBILIARIO Y EQUIPAMIENTO,Fecha de Buena Pro,PROGRAMADA,22/05/2020
32,65,2030522,MOBILIARIO Y EQUIPAMIENTO,Fecha de Suscripcion de Contrato,PROGRAMADA,29/06/2020
33,66,2030522,MOBILIARIO Y EQUIPAMIENTO,Fecha de Integracion de Bases,ACTUALIZADA,
34,67,2030522,MOBILIARIO Y EQUIPAMIENTO,Fecha de Actuaciones Preparatorias,ACTUALIZADA,
35,68,2030522,MOBILIARIO Y EQUIPAMIENTO,Fecha de Suscripcion de Contrato,ACTUALIZADA,
36,69,2030522,MOBILIARIO Y EQUIPAMIENTO,Fecha de Buena Pro,ACTUALIZADA,
37,70,2030522,MOBILIARIO Y EQUIPAMIENTO,Fecha de Convocatoria,ACTUALIZADA,
38,111,2033259,ADECUADA INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,11/12/2019
39,112,2033259,ADECUADA INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,6/03/2020
40,113,2033259,ADECUADA INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,8/07/2020
41,114,2033259,ADECUADA INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,27/08/2020
42,115,2033259,ADECUADA INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,15/09/2020
43,116,2033259,ADECUADA INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,11/12/2019
44,117,2033259,ADECUADA INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,6/03/2020
45,118,2033259,ADECUADA INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,8/07/2020
46,119,2033259,ADECUADA INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,27/08/2020
47,120,2033259,ADECUADA INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,15/09/2020
48,121,2033737,EQUIPAMIENTO,Fecha de Actuaciones Preparatorias,PROGRAMADA,1/04/2019
49,122,2033737,EQUIPAMIENTO,Fecha de Convocatoria,PROGRAMADA,16/04/2019
50,123,2033737,EQUIPAMIENTO,Fecha de Integracion de Bases,PROGRAMADA,24/04/2019
51,124,2033737,EQUIPAMIENTO,Fecha de Buena Pro,PROGRAMADA,7/05/2019
52,125,2033737,EQUIPAMIENTO,Fecha de Suscripcion de Contrato,PROGRAMADA,15/05/2019
53,126,2033737,EQUIPAMIENTO,Fecha de Actuaciones Preparatorias,ACTUALIZADA,1/07/2019
54,127,2033737,EQUIPAMIENTO,Fecha de Convocatoria,ACTUALIZADA,16/07/2019
55,128,2033737,EQUIPAMIENTO,Fecha de Integracion de Bases,ACTUALIZADA,24/07/2019
56,129,2033737,EQUIPAMIENTO,Fecha de Buena Pro,ACTUALIZADA,8/08/2019
57,130,2033737,EQUIPAMIENTO,Fecha de Suscripcion de Contrato,ACTUALIZADA,16/08/2019
58,141,2036533,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,3/11/2020
59,142,2036533,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,10/12/2020
60,143,2036533,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,10/12/2020
61,144,2036533,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,10/12/2020
62,145,2036533,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,30/12/2020
63,146,2036533,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,3/11/2020
64,147,2036533,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,10/12/2020
65,148,2036533,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,18/01/2021
66,149,2036533,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,28/01/2021
67,150,2036533,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,9/02/2021
68,161,2037813,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,3/01/2020
69,162,2037813,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,9/01/2020
70,163,2037813,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,17/01/2020
71,164,2037813,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,27/01/2020
72,165,2037813,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,14/02/2020
73,166,2037813,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,3/01/2020
74,167,2037813,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,9/01/2020
75,168,2037813,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,17/01/2020
76,169,2037813,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,27/01/2020
77,170,2037813,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,14/02/2020
78,171,2037979,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,28/08/2020
79,172,2037979,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,29/09/2020
80,173,2037979,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,23/10/2020
81,174,2037979,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,10/11/2020
82,175,2037979,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,15/12/2020
83,176,2037979,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,28/08/2020
84,177,2037979,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,29/09/2020
85,178,2037979,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,23/10/2020
86,179,2037979,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,10/11/2020
87,180,2037979,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,15/12/2020
88,181,2038458,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,17/11/2007
89,182,2038458,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,25/11/2007
90,183,2038458,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,17/12/2007
91,184,2038458,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,19/12/2007
92,185,2038458,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,3/01/2008
93,186,2038458,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,17/11/2007
94,187,2038458,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,25/11/2007
95,188,2038458,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,17/12/2007
96,189,2038458,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,19/12/2007
97,190,2038458,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,3/01/2008
98,191,2043050,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,PROGRAMADA,20/11/2019
99,192,2043050,INFRAESTRUCTURA,Fecha de Convocatoria,PROGRAMADA,5/12/2019
100,193,2043050,INFRAESTRUCTURA,Fecha de Integracion de Bases,PROGRAMADA,11/12/2019
101,194,2043050,INFRAESTRUCTURA,Fecha de Buena Pro,PROGRAMADA,17/12/2019
102,195,2043050,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,PROGRAMADA,9/01/2020
103,196,2043050,INFRAESTRUCTURA,Fecha de Actuaciones Preparatorias,ACTUALIZADA,20/11/2019
104,197,2043050,INFRAESTRUCTURA,Fecha de Convocatoria,ACTUALIZADA,5/12/2019
105,198,2043050,INFRAESTRUCTURA,Fecha de Integracion de Bases,ACTUALIZADA,11/12/2019
106,199,2043050,INFRAESTRUCTURA,Fecha de Buena Pro,ACTUALIZADA,17/12/2019
107,200,2043050,INFRAESTRUCTURA,Fecha de Suscripcion de Contrato,ACTUALIZADA,9/01/2020
108,201,2043362,OBRAS,Fecha de Convocatoria,PROGRAMADA,4/08/2016
109,202,2043362,OBRAS,Fecha de Actuaciones Preparatorias,PROGRAMADA,4/08/2016
110,203,2043362,OBRAS,Fecha de Integracion de Bases,PROGRAMADA,11/08/2016
