,CodPro,CodCta,NomPro,PaisPro,DepPro,ProvPro,DisPro,RegPro
0,10000003986,10000003986,CHAMORRO PENIA FERNANDO,PERU,LORETO,MAYNAS,PUNCHANA,Proveedor de Bienes
1,10000020040,10000020040,PILCO MORI IRMA,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
2,10000035012,10000035012,URIARTE RIOS VDA DE RIOS YOLANDA,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
3,10000130121,10000130121,ALEGRIA TAPULLIMA ELAR,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Bienes
4,10000137397,10000137397,VEGA TORRES WALTER ALONSO,PERU,LIMA,LIMA,SAN MIGUEL,Proveedor de Bienes
5,10000147520,10000147520,CALDERON ARAUJO NESTOR,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
6,10000165838,10000165838,VASQUEZ NARANJO RAUL ARTEMIO,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Bienes
7,10000214251,10000214251,HOYOS DE LAO LUZ OLIT,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
8,10000320744,10000320744,MANTILLA TORRES LUCIO FREDY,PERU,LIMA,LIMA,LIMA,Proveedor de Servicios
9,10000345739,10000345739,FLORES GARCIA LUIS ARTIDORO,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
10,10000352638,10000352638,RUIZ PEREZ HUGO HERNAN,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Bienes
11,10000384581,10000384581,GOMEZ FLORES FLOR,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Bienes
12,10000389001,10000389001,VALDIVIESO CASTANIEDA TEOFILO,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
13,10000402929,10000402929,DEL ALCAZAR DE SOUZA CESAR AUGUSTO,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Bienes
14,10000423420,10000423420,RAMIREZ PALACIOS OSCAR ROLANDO,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
15,10000480890,10000480890,ALAYO CALDERON VICTOR MOISES,PERU,LIMA,LIMA,PUNTA HERMOSA,Proveedor de Servicios
16,10000561938,10000561938,CORAL DEL AGUILA MARIVEL,PERU,UCAYALI,CORONEL PORTILLO,YARINACOCHA,Proveedor de Servicios
17,10000562047,10000562047,MUNIOZ LANDEO ALEJANDRO,PERU,UCAYALI,CORONEL PORTILLO,YARINACOCHA,Proveedor de Bienes
18,10000603690,10000603690,LANCHI MOZOMBITE ELITA,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Bienes
19,10000646381,10000646381,CHANG TEMPLO JUAN,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Bienes
20,10000697228,10000697228,ZUMAETA DE DIAZ DOLORES,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
21,10000697945,10000697945,GUILLEN MONTESINOS DILMA,PERU,UCAYALI,CORONEL PORTILLO,YARINACOCHA,Proveedor de Servicios
22,10000701101,10000701101,BARBARAN RIOS VICTORIA,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
23,10000715633,10000715633,PEREZ INCA LUIS WILLIAM,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
24,10000832583,10000832583,MARTINEZ SERRANTES MARCO ANTONIO,PERU,HUANUCO,HUANUCO,HUANUCO,Ejecutor de Obras
25,10000873301,10000873301,LINARES MORENO PINA MILUSKA,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Bienes
26,10000898428,10000898428,SANTILLAN SALAZAR CLORIS GENOVEVA,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
27,10000921225,10000921225,GARCIA PISCO RICARDO,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Bienes
28,10000990235,10000990235,ROJAS VASQUEZ HUGO,PERU,UCAYALI,CORONEL PORTILLO,MANANTAY,Proveedor de Bienes
29,10000993714,10000993714,RUIZ RODRIGUEZ CLARISA,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
30,10001005907,10001005907,BUGARIN AGUILAR ATILIO,PERU,UCAYALI,CORONEL PORTILLO,MANANTAY,Proveedor de Servicios
31,10001069999,10001069999,FACHING ROMAYNA SHIRLEY JESSICA,PERU,LIMA,LIMA,INDEPENDENCIA,Proveedor de Bienes
32,10001092524,10001092524,USAQUI BARBARAN KARINA,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
33,10001106878,10001106878,GRANDEZ ZARATE FERNANDO,PERU,UCAYALI,CORONEL PORTILLO,YARINACOCHA,Proveedor de Bienes
34,10001124256,10001124256,LAOS TABOADA MILOVAN,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Bienes
35,10001125953,10001125953,SOLSOL RIOS GUSTAVO,PERU,UCAYALI,CORONEL PORTILLO,MANANTAY,Consultor de Obras
36,10001130361,10001130361,TORRES GUTIERREZ JUAN MANUEL,PERU,UCAYALI,CORONEL PORTILLO,YARINACOCHA,Proveedor de Servicios
37,10001155534,10001155534,CABRERA HUARCAYA FROYLAN ROSARIO,PERU,UCAYALI,ATALAYA,RAYMONDI,Proveedor de Bienes
38,10001187479,10001187479,RAYMUNDO ROJAS MELANIA,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Bienes
39,10001193177,10001193177,LIMA VASQUEZ JESSICA GESENIA,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
40,10001202052,10001202052,ROJAS MELGAREJO ROMEL ALMANZOR,PERU,ANCASH,HUARAZ,INDEPENDENCIA,Proveedor de Bienes
41,10001203504,10001203504,QUIROZ CAMPOS ROXANA,PERU,UCAYALI,CORONEL PORTILLO,MANANTAY,Proveedor de Bienes
42,10001231273,10001231273,ABISRROR LA TORRE AMMED ALI,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
43,10001233071,10001233071,RAMIREZ FLORES NOE,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Bienes
44,10001238031,10001238031,SANCHEZ RUIZ JORGE LUIS,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
45,10001254192,10001254192,MURO LOZANO MELISSA,PERU,UCAYALI,CORONEL PORTILLO,CALLERIA,Proveedor de Servicios
