,CodUF,NomUF
0,1,GOBIERNOS LOCALES
1,2,GOBIERNOS REGIONALES
2,3,EDUCACION
3,4,FONAFE
4,5,INTERIOR
5,6,CULTURA
6,7,AGRICULTURA Y RIEGO
7,8,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO"
8,9,SALUD
9,10,DESARROLLO E INCLUSION SOCIAL
10,11,TRANSPORTES Y COMUNICACIONES
11,12,PRESIDENCIA DEL CONSEJO DE MINISTROS
12,13,MINISTERIO PUBLICO
13,14,ECONOMIA Y FINANZAS
14,15,AMBIENTAL
15,16,PODER JUDICIAL
16,17,COMERCIO EXTERIOR Y TURISMO
17,18,PRODUCCION
18,19,ENERGIA Y MINAS
19,20,JUSTICIA
20,21,RELACIONES EXTERIORES
21,22,ESSALUD
22,23,DEFENSA
23,24,MUJER Y POBLACIONES VULNERABLES
24,25,UNIVERSIDADES
25,26,OFICINA NACIONAL DE PROCESOS ELECTORALES-ONPE
26,27,JURADO NACIONAL DE ELECCIONES-JNE
27,28,CONGRESO DE LA REPUBLICA
28,29,TRABAJO Y PROMOCION DEL EMPLEO
29,30,TRIBUNAL CONSTITUCIONAL
30,31,CONTRALORIA GENERAL
31,32,DEFENSORIA  DEL PUEBLO
32,33,CONSEJO NACIONAL  DE LA MAGISTRATURA
33,34,FUERO MILITAR POLICIAL
34,35,REGISTRO NACIONAL DE IDENTIFICACION Y ESTADO CIVIL
35,36,MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES
36,37,"AGRICULTURA
"
37,38,"OTROS
"
