,CodCons,NomCons,CodCta
0,2051,CONSORCIO CSM SELVA,2051
1,165451,CONSORCIO HYDROTACNA,165451
2,171670,METROLOGIA LAB S.A.C. - HC MEDICAL S.A.C.,171670
3,219475,CONSORCIO IMAGING TECHNOLOGY AND VISIBLE SOLUTIONS COMPANY LTD - REPRESENTACIONES ROBINSON E I R L.,219475
4,219477,CONSORCIO TECNOLÓGICO PERUANO BRASILEÑO,219477
5,240025,RSR Negociaciones E.I.R.L. / Importaciones y Servicios Generales RG E.I.R.L.,240025
6,241533,CONSORCIO  SAN CARLOS ,241533
7,241540,CONSORCIO LAREDO,241540
8,241908,CONSORCIO GRUPOS AGROINDUSTRIALES E.I.R.L - INDUSTRIAS ALIMENTARIAS R Y R E.I.R.L,241908
9,241964,CONSORCIO EL LEON,241964
10,242215,GRIFO SAN LORENZO,242215
11,242218,QUEBRADA DEL NORTE,242218
12,242240,CONSORCIO MARAÑON,242240
13,242323,CONSORCIO GAMMA,242323
14,242438,CONSORCIO LAMBAYEQUE,242438
15,242466,CONSORCIO DR SECURITY - GEOSATIS,242466
16,242471,CONSORCIO EL SOL,242471
17,242486,CONSORCIO LA PERLA DEL HUALLAGA,242486
18,242572,CONSORCIO VIRGEN DE LAS NIEVES,242572
19,242574,CONSORCIO VIRGEN DE LAS NIEVES,242574
20,242591,CONSORCIO SANTA LUCIA ,242591
21,242594,CONSORCIO VIRGEN DE LAS NIEVES,242594
22,242791,CONSORCIO ESTRELLA DEL CENTRO,242791
23,242817,CONSORCIO SAN IDELFONSO,242817
24,242827,CONSORCIO EDUCATIVO UCUNCHA,242827
25,242840,CONSORCIO LAHUALAHUA,242840
26,242843,CONSORCIO RIOS DEL ORIENTE SERVICIOS GENERALES -INVERSIONES VAPA ,242843
27,242850,CONSORCIO PHOENIX ENGINEERING PROCUREMENT AND CONSTRUCTION SAC-ALEX GUTIERREZ LOPEZ,242850
28,242927,CONSORCIO COTARUSE,242927
29,242933,CONSORCIO SAN NICOLAS,242933
30,242959,CONSORCIO ALFA,242959
31,242962,CONSORCIO SAN MARTIN,242962
32,243016,CONSORCIO WIÑAY PERU,243016
33,243071,CONSORCIO HUARMEY,243071
34,243073,CONSORCIO AHREN COSSIAT,243073
35,243146,CONSORCIO IMPERIO DORADO,243146
36,243153,CONSORCIO EDUCATIVO BYG,243153
37,243154,CONSORCIO CENTRO,243154
38,243174,CONSORCIO PASCO,243174
39,243184,RIOS DEL ORIENTE SERVICIOS GENERALES S.A.C.,243184
40,243206,CONSORCIO DE INGENIERIA,243206
41,243208,CONSORCIO GRUPOS AGROINDUSTRIALES E.I.R.L. - INDUSTRIAS ALIMENTARIAS R & R E.I.R.L,243208
42,243216,CONSORCIO COCHAS,243216
43,243263,CONSORCIO SUPERVISOR LUCEROPATA,243263
44,243324,CONSORCIO CONFORMADO POR LAS EMPRESAS MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS S.A - MAPFRE PERU VIDA COMPAÑIA DE SEGUROS Y REASEGUROS Y MAPFRE PERU S.A ENTIDAD PRESTADORA DE SALUD ,243324
45,243326,ALFREDO ORLANDO REJAS UNTIVEROS - BDA LOGISTICA S.A.C.,243326
46,243330,CONSORCIO LIMA NORTE,243330
47,243358,CONSORCIO YANACANCHA PERU,243358
48,243370,CONSORCIO NUEVA ESPERANZA,243370
49,243408,CONSORCIOINGENIEROS EJECUTORES,243408
50,243454,CONSORCIO H & H,243454
51,243460,CONSORCIO ANDINA TECH,243460
52,243492,CONSORCIO SUPERVISION CHANKAS,243492
53,243539,CONSORCIO SUPERVISOR MOLINO,243539
54,243600,CONSORCIO SUPERVISOR DEL NORTE,243600
