,CodCte,RucCte,NomCte,CodTipCte
0,20100003199,20100003199,EMPRESA NACIONAL DE PUERTOS S.A.,
1,20100003351,20100003351,SERVICIO INDUSTRIAL DE LA MARINA S.A.,
2,20100004675,20100004675,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL S.A.- CORPAC,
3,20100027705,20100027705,EMPRESA DE ELECTRICIDAD DEL PERU S.A. - ELECTROPERU,
4,20100030595,20100030595,BANCO DE LA NACION,
5,20100032962,20100032962,EMPRESA NACIONAL PESQUERA S.A. EN LIQUIDACION,
6,20100054699,20100054699,BANCO DE LA VIVIENDA DEL PERU EN LIQUIDACION,
7,20100063337,20100063337,EMPRESA MUNICIPAL ADMINISTRADORA DE PEAJE DE LIMA S.A.,
8,20100072751,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,
9,20100101522,20100101522,COMPANIA DE NEGOCIACIONES MOBILIARIAS E INMOBILIARIAS S.A.,
10,20100116392,20100116392,CORPORACION FINANCIERA DE DESARROLLO S.A.,
11,20100128218,20100128218,PETROLEOS DEL PERU S.A.,
12,20100152356,20100152356,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LIMA - SEDAPAL,
13,20100153913,20100153913,EMPRESA NACIONAL DE EDIFICACIONES EN LIQUIDACION,
14,20100162076,20100162076,"EMPRESA DE SEGURIDAD, VIGILANCIA Y CONTROL S.A.C.",
15,20100164958,20100164958,EMPRESA MUNICIPAL DE MERCADOS S.A.,
16,20100176531,20100176531,EMPRESA MINERA DEL CENTRO DEL PERU S.A. EN LIQUIDACION,
17,20100178584,20100178584,BANCO DE MATERIALES EN LIQUIDACION,
18,20100188628,20100188628,SOCIEDAD ELECTRICA DEL SUR OESTE S.A.,
19,20100211034,20100211034,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AREQUIPA,
20,20100269466,20100269466,CAJA METROPOLITANA DE LIMA,
21,20100362598,20100362598,SERVICIOS INTEGRADOS DE LIMPIEZA SA,
22,20100437946,20100437946,EMPRESA NACIONAL DE FERROCARRILES S.A. EN LIQUIDACION,
23,20100981492,20100981492,EMPRESA MUNICIPAL DE SERVICIOS INFORMATICOS MIRAFLORES S.A.,
24,20102708394,20102708394,EMPRESA DE SERVICIO PUBLICO DE ELECTRICIDAD DEL NOR OESTE DEL PERU S.A. ELECTRO NOR OESTE SA,
25,20102762925,20102762925,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO GRAU S.A.,
26,20103030791,20103030791,EMPRESA ACTIVOS MINEROS SAC,
27,20103117560,20103117560,EMPRESA DE SERVICIO PUBLICO DE ELECTRICIDAD ELECTRONORTE S.A.,
28,20103448591,20103448591,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO DE LAMBAYEQUE S.A.,
29,20103745293,20103745293,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO DE LORETO S.A.,
30,20103795631,20103795631,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL ORIENTE,
31,20103845590,20103845590,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS,
32,20105049294,20105049294,ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO MUNICIPAL CHANKA SCRL,
33,20105087978,20105087978,EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTERILLADO DE BAGUA SRL,
34,20105266988,20105266988,MUNICIPALIDAD PROVINCIAL DE MORROPON - CHULUCANAS,
35,20105685875,20105685875,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,
36,20106235024,20106235024,EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE SALAS,
37,20112919377,20112919377,"INSTITUTO GEOLOGICO, MINERO Y METALURGICO",
38,20113733641,20113733641,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE CAJAMARCA S.A.,
39,20114050530,20114050530,ZONA REGISTRAL NÂ° IV SEDE IQUITOS,
40,20114883230,20114883230,EMPRESA NACIONAL DE LA COCA S.A.,
41,20115030044,20115030044,SOCIEDAD DE BENEFICENCIA PUBLICA DE PUNO,
42,20115123999,20115123999,ENTIDAD PRESTADORA DE SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO - JULIACA S.A.,
43,20115425651,20115425651,EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE ABANCAY S.A.,
44,20115776283,20115776283,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO DE MOQUEGUA SA,
45,20115851919,20115851919,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO DE ILO SA,
46,20116009219,20116009219,SOCIEDAD DE BENEFICENCIA PUBLICA DE JAEN,
47,20116067847,20116067847,MUNICIPALIDAD PROVINCIAL DE LORETO - NAUTA,
48,20116320682,20116320682,SOCIEDAD DE BENEFICENCIA PUBLICA DE CUSCO,
49,20116544289,20116544289,EMPRESA REGIONAL DE SERVICIOS PUBLICOS DE ELECTRICIDAD DEL SUR ESTE S.A.,
50,20119147051,20119147051,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO CHAVIN S.A.,
51,20119205949,20119205949,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD - ELECTROSUR S.A.,
52,20120385004,20120385004,MUNICIPALIDAD PROVINCIAL DE YAULI - LA OROYA,
53,20120958136,20120958136,SOCIEDAD DE BENEFICENCIA PUBLICA DE AREQUIPA,
54,20121103754,20121103754,MUNICIPALIDAD DISTRITAL DE LA VILLA DE CAYMA,
55,20121726212,20121726212,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO DEL MANTARO S.A.,
56,20121796857,20121796857,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO MUNICIPAL DE HUANCAYO,
57,20121876290,20121876290,ENTIDAD PRESTADORA DE SERVICIOS DE SANEAMIENTO SELVA CENTRAL S.A.,
58,20122476309,20122476309,BANCO CENTRAL DE RESERVA DEL PERU,
59,20123335521,20123335521,INSTITUTO CATASTRAL DE LIMA,
60,20123540370,20123540370,SOCIEDAD DE BENEFICENCIA PUBLICA DE MATUCANA,
61,20125449361,20125449361,EMPRESA DE SERVICIO Y LIMPIEZA MUNICIPAL PUBLICA CALLAO S.A,
62,20125645039,20125645039,PATRONATO DEL PARQUE DE LAS LEYENDAS - FELIPE BENAVIDES BARREDA,
63,20126236078,20126236078,EMPRESA MUNICIPAL INMOBILIARIA DE LIMA S.A.,
64,20126484560,20126484560,DIRECCION DE SALUD V LIMA CIUDAD,
65,20126850680,20126850680,EMPRESA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE HUANUCO,
66,20128985841,20128985841,EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE CORONEL PORTILLO S.A.,
67,20129289636,20129289636,SOCIEDAD DE BENEFICENCIA PUBLICA DE PUQUIO,
68,20129302322,20129302322,EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE TAMBOPATA S.A.,
69,20129396122,20129396122,EMPRESA EMAPA HUANCAVELICA S.A.,
70,20129509776,20129509776,ENTIDAD PRESTADORA DE SERVICIO DE SANEAMIENTO SIERRA CENTRAL S.R.L.,
71,20129646099,20129646099,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD DEL CENTRO SA ELECTROCENTRO S.A.,
72,20130534211,20130534211,MUNICIPALIDAD DISTRITAL DE SAN ISIDRO - LIMA,
73,20131016396,20131016396,SUPERINTENDENCIA DEL MERCADO DE VALORES,
74,20131023414,20131023414,MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO,
75,20131057823,20131057823,SUPERINTENDENCIA NACIONAL DE BIENES ESTATALES,
76,20131257750,20131257750,SEGURO SOCIAL DE SALUD,
77,20131263130,20131263130,INSTITUTO NACIONAL DE SALUD,
78,20131312955,20131312955,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,
79,20131365722,20131365722,MUNICIPALIDAD DISTRITAL DE LA MOLINA,
80,20131365994,20131365994,INSTITUTO NACIONAL DE INNOVACION AGRARIA - INIA,
81,20131366028,20131366028,SERVICIO NACIONAL DE METEOROLOGIA E HIDROLOGIA,
82,20131366290,20131366290,MUNICIPALIDAD DISTRITAL DE JESUS MARIA,
83,20131366451,20131366451,MUNICIPALIDAD DISTRITAL DE PUNTA HERMOSA,
84,20131366532,20131366532,MUNICIPALIDAD DISTRITAL DE PUNTA NEGRA,
85,20131366613,20131366613,MUNICIPALIDAD DISTRITAL DE RIMAC,
86,20131366702,20131366702,MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA,
87,20131366885,20131366885,INTENDENCIA NACIONAL DE BOMBEROS DEL PERU,
88,20131366966,20131366966,MINISTERIO DEL INTERIOR - PNP UE 001 OGA,
89,20131367008,20131367008,INSTITUTO GEOFISICO DEL PERU,
90,20131367423,20131367423,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO,
91,20131367776,20131367776,MUNICIPALIDAD DISTRITAL DE BARRANCO,
92,20131367857,20131367857,MUNICIPALIDAD DISTRITAL DE LINCE,
93,20131367938,20131367938,MINISTERIO DE DEFENSA,
94,20131368071,20131368071,MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA,
95,20131368152,20131368152,MUNICIPALIDAD DISTRITAL DE CHORRILLOS,
96,20131368233,20131368233,MUNICIPALIDAD DISTRITAL DE CHACLACAYO,
97,20131368314,20131368314,MUNICIPALIDAD DISTRITAL DE CARABAYLLO,
98,20131368403,20131368403,INSTITUTO NACIONAL DE SALUD DEL NINO,
99,20131368586,20131368586,MUNICIPALIDAD DISTRITAL DE BRENA,
100,20131368667,20131368667,MUNICIPALIDAD DISTRITAL DE LOS OLIVOS (LAS PALMERAS),
101,20131368829,20131368829,MINISTERIO DE ENERGIA Y MINAS,
102,20131369043,20131369043,MUNICIPALIDAD DISTRITAL DE SANTA ANITA,
103,20131369124,20131369124,EJERCITO PERUANO,
104,20131369477,20131369477,INSTITUTO TECNOLOGICO DE LA PRODUCCION,
105,20131369558,20131369558,MUNICIPALIDAD PROVINCIAL DEL CALLAO,
106,20131369639,20131369639,MUNICIPALIDAD DISTRITAL DE BELLAVISTA - PROV. CALLAO,
107,20131369710,20131369710,MUNICIPALIDAD DISTRITAL DE LA PERLA,
108,20131369809,20131369809,MUNICIPALIDAD DISTRITAL DE VENTANILLA,
109,20131369981,20131369981,INSTITUTO NACIONAL DE ESTADISTICA,
110,20131370050,20131370050,INSTITUTO NACIONAL PENITENCIARIO,
111,20131370301,20131370301,MINISTERIO PUBLICO,
112,20131370564,20131370564,"SUPERINTENDENCIA DE BANCA, SEGUROS Y AFP",
113,20131370645,20131370645,MINISTERIO DE ECONOMIA Y FINANZAS,
114,20131370726,20131370726,ARCHIVO GENERAL DE LA NACION,
115,20131370998,20131370998,MINISTERIO DE EDUCACION,
116,20131371293,20131371293,INSTITUTO PERUANO DE ENERGIA NUCLEAR,
117,20131371455,20131371455,MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA),
118,20131371617,20131371617,MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,
119,20131371889,20131371889,COMISION NACIONAL DE INVESTIGACION Y DESARROLLO AEROESPACIAL,
120,20131372001,20131372001,CENTRO DE FORMACION EN TURISMO,
121,20131372184,20131372184,MUNICIPALIDAD DISTRITAL DE SAN MIGUEL,
122,20131372265,20131372265,ASAMBLEA NACIONAL DE RECTORES,
123,20131372346,20131372346,MUNICIPALIDAD DISTRITAL DE SURQUILLO,
124,20131372427,20131372427,MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES,
125,20131372699,20131372699,MUNICIPALIDAD DISTRITAL DE PUCUSANA,
126,20131372770,20131372770,MUNICIPALIDAD DISTRITAL DE VILLA MARIA DEL TRIUNFO,
127,20131372931,20131372931,MINISTERIO DE AGRICULTURA Y RIEGO,
128,20131373075,20131373075,SERVICIO NACIONAL DE SANIDAD AGRARIA,
129,20131373237,20131373237,MINISTERIO DE SALUD,
130,20131373661,20131373661,MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA - LIMA,
131,20131373741,20131373741,MUNICIPALIDAD DISTRITAL DE SAN BORJA,
132,20131376414,20131376414,INSTITUTO NACIONAL DE SALUD MENTAL HONORIO DELGADO-HIDEYO NOGUCHI,
133,20131376686,20131376686,MUNICIPALIDAD DISTRITAL DE SAN BARTOLO,
134,20131376767,20131376767,MUNICIPALIDAD DISTRITAL DE LURIN,
135,20131376848,20131376848,MUNICIPALIDAD DISTRITAL DE MAGDALENA DEL MAR,
136,20131377062,20131377062,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE - LIMA,
137,20131377224,20131377224,MUNICIPALIDAD DISTRITAL DE MIRAFLORES - LIMA,
138,20131377577,20131377577,INSTITUTO NACIONAL DE REHABILITACION,
139,20131377810,20131377810,SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION,
140,20131377909,20131377909,MUNICIPALIDAD DISTRITAL DE EL AGUSTINO,
141,20131378034,20131378034,MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO,
142,20131378115,20131378115,MUNICIPALIDAD DISTRITAL DE SAN LUIS - LIMA,
143,20131378204,20131378204,MUNICIPALIDAD DISTRITAL DE SAN JUAN DE MIRAFLORES,
144,20131378468,20131378468,MUNICIPALIDAD DISTRITAL DE ANCON,
145,20131378549,20131378549,JURADO NACIONAL DE ELECCIONES,
146,20131378620,20131378620,MUNICIPALIDAD DISTRITAL DE ATE - VITARTE,
147,20131378972,20131378972,CONTRALORIA GENERAL DE LA REPUBLICA,
148,20131379430,20131379430,ESCUELA NACIONAL DE MARINA MERCANTE,
149,20131379600,20131379600,MUNICIPALIDAD DISTRITAL DE LA PUNTA,
150,20131379863,20131379863,BIBLIOTECA NACIONAL DEL PERU,
151,20131379944,20131379944,MINISTERIO DE TRANSPORTES Y COMUNICACIONES,
152,20131380012,20131380012,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS - INCN,
153,20131380101,20131380101,MINISTERIO DE RELACIONES EXTERIORES,
154,20131380870,20131380870,COMANDO CONJUNTO DE LAS FUERZAS ARMADAS,
155,20131380951,20131380951,MUNICIPALIDAD METROPOLITANA DE LIMA,
156,20131381094,20131381094,INSTITUTO NACIONAL DE OFTALMOLOGIA,
157,20131911310,20131911310,SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LA LIBERTAD,
158,20132023540,20132023540,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD ELECTRO NOR MEDIO SA HIDRANDINA,
159,20132067831,20132067831,SOCIEDAD DE BENEFICENCIA PUBLICA DE TRUJILLO,
160,20133670191,20133670191,SOCIEDAD DE BENEFICENCIA PUBLICA DE HUANCAYO,
161,20133696661,20133696661,MUNICIPALIDAD DISTRITAL DE CHILCA - HUANCAYO,
162,20133696742,20133696742,MUNICIPALIDAD DISTRITAL DE EL TAMBO,
163,20133696823,20133696823,MUNICIPALIDAD PROVINCIAL DE HUANCAYO,
164,20133840533,20133840533,INSTITUTO NACIONAL DE DEFENSA DE LA COMPETENCIA Y DE LA PROTECCION DE LA PROPIEDAD INTELECTUAL,
