,CodUbi,DepUbi,ProUbi,DistUbi
0,10101,Amazonas,Chachapoyas,Chachapoyas
1,10102,Amazonas,Chachapoyas,Asuncion
2,10103,Amazonas,Chachapoyas,Balsas
3,10104,Amazonas,Chachapoyas,Cheto
4,10105,Amazonas,Chachapoyas,Chiliquin
5,10106,Amazonas,Chachapoyas,Chuquibamba
6,10107,Amazonas,Chachapoyas,Granada
7,10108,Amazonas,Chachapoyas,Huancas
8,10109,Amazonas,Chachapoyas,La Jalca
9,10110,Amazonas,Chachapoyas,Leimebamba
10,10111,Amazonas,Chachapoyas,Levanto
11,10112,Amazonas,Chachapoyas,Magdalena
12,10113,Amazonas,Chachapoyas,Mariscal Castilla
13,10114,Amazonas,Chachapoyas,Molinopampa
14,10115,Amazonas,Chachapoyas,Montevideo
15,10116,Amazonas,Chachapoyas,Olleros
16,10117,Amazonas,Chachapoyas,Quinjalca
17,10118,Amazonas,Chachapoyas,San Francisco de Daguas
18,10119,Amazonas,Chachapoyas,San Isidro de Maino
19,10120,Amazonas,Chachapoyas,Soloco
20,10121,Amazonas,Chachapoyas,Sonche
21,10201,Amazonas,Bagua,Bagua
22,10202,Amazonas,Bagua,Aramango
23,10203,Amazonas,Bagua,Copallin
24,10204,Amazonas,Bagua,El Parco
25,10205,Amazonas,Bagua,Imaza
26,10206,Amazonas,Bagua,La Peca
27,10301,Amazonas,Bongara,Jumbilla
28,10302,Amazonas,Bongara,Chisquilla
29,10303,Amazonas,Bongara,Churuja
30,10304,Amazonas,Bongara,Corosha
31,10305,Amazonas,Bongara,Cuispes
32,10306,Amazonas,Bongara,Florida
33,10307,Amazonas,Bongara,Jazan
34,10308,Amazonas,Bongara,Recta
35,10309,Amazonas,Bongara,San Carlos
36,10310,Amazonas,Bongara,Shipasbamba
37,10311,Amazonas,Bongara,Valera
38,10312,Amazonas,Bongara,Yambrasbamba
39,10401,Amazonas,Condorcanqui,Nieva
40,10402,Amazonas,Condorcanqui,El Cenepa
41,10403,Amazonas,Condorcanqui,Rio Santiago
42,10501,Amazonas,Luya,Lamud
43,10502,Amazonas,Luya,Camporredondo
44,10503,Amazonas,Luya,Cocabamba
45,10504,Amazonas,Luya,Colcamar
46,10505,Amazonas,Luya,Conila
47,10506,Amazonas,Luya,Inguilpata
48,10507,Amazonas,Luya,Longuita
49,10508,Amazonas,Luya,Lonya Chico
50,10509,Amazonas,Luya,Luya
51,10510,Amazonas,Luya,Luya Viejo
52,10511,Amazonas,Luya,Maria
53,10512,Amazonas,Luya,Ocalli
54,10513,Amazonas,Luya,Ocumal
55,10514,Amazonas,Luya,Pisuquia
56,10515,Amazonas,Luya,Providencia
57,10516,Amazonas,Luya,San Cristobal
58,10517,Amazonas,Luya,San Francisco del Yeso
59,10518,Amazonas,Luya,San Jeronimo
60,10519,Amazonas,Luya,San Juan de Lopecancha
61,10520,Amazonas,Luya,Santa Catalina
62,10521,Amazonas,Luya,Santo Tomas
63,10522,Amazonas,Luya,Tingo
64,10523,Amazonas,Luya,Trita
65,10601,Amazonas,Rodriguez de Mendoza,San Nicolas
66,10602,Amazonas,Rodriguez de Mendoza,Chirimoto
67,10603,Amazonas,Rodriguez de Mendoza,Cochamal
68,10604,Amazonas,Rodriguez de Mendoza,Huambo
69,10605,Amazonas,Rodriguez de Mendoza,Limabamba
70,10606,Amazonas,Rodriguez de Mendoza,Longar
71,10607,Amazonas,Rodriguez de Mendoza,Mariscal Benavides
72,10608,Amazonas,Rodriguez de Mendoza,Milpuc
73,10609,Amazonas,Rodriguez de Mendoza,Omia
74,10610,Amazonas,Rodriguez de Mendoza,Santa Rosa
75,10611,Amazonas,Rodriguez de Mendoza,Totora
76,10612,Amazonas,Rodriguez de Mendoza,Vista Alegre
77,10701,Amazonas,Utcubamba,Bagua Grande
78,10702,Amazonas,Utcubamba,Cajaruro
79,10703,Amazonas,Utcubamba,Cumba
80,10704,Amazonas,Utcubamba,El Milagro
81,10705,Amazonas,Utcubamba,Jamalca
82,10706,Amazonas,Utcubamba,Lonya Grande
83,10707,Amazonas,Utcubamba,Yamon
84,20101,Ancash,Huaraz,Huaraz
85,20102,Ancash,Huaraz,Cochabamba
86,20103,Ancash,Huaraz,Colcabamba
87,20104,Ancash,Huaraz,Huanchay
88,20105,Ancash,Huaraz,Independencia
89,20106,Ancash,Huaraz,Jangas
90,20107,Ancash,Huaraz,La Libertad
91,20108,Ancash,Huaraz,Olleros
92,20109,Ancash,Huaraz,Pampas
93,20110,Ancash,Huaraz,Pariacoto
94,20111,Ancash,Huaraz,Pira
95,20112,Ancash,Huaraz,Tarica
96,20201,Ancash,Aija,Aija
97,20202,Ancash,Aija,Coris
98,20203,Ancash,Aija,Huacllan
99,20204,Ancash,Aija,La Merced
100,20205,Ancash,Aija,Succha
101,20301,Ancash,Antonio Raymondi,Llamellin
102,20302,Ancash,Antonio Raymondi,Aczo
103,20303,Ancash,Antonio Raymondi,Chaccho
104,20304,Ancash,Antonio Raymondi,Chingas
105,20305,Ancash,Antonio Raymondi,Mirgas
106,20306,Ancash,Antonio Raymondi,San Juan de Rontoy
107,20401,Ancash,Asuncion,Chacas
108,20402,Ancash,Asuncion,Acochaca
109,20501,Ancash,Bolognesi,Chiquian
110,20502,Ancash,Bolognesi,Abelardo Pardo Lezameta
111,20503,Ancash,Bolognesi,Antonio Raymondi
112,20504,Ancash,Bolognesi,Aquia
113,20505,Ancash,Bolognesi,Cajacay
114,20506,Ancash,Bolognesi,Canis
115,20507,Ancash,Bolognesi,Colquioc
116,20508,Ancash,Bolognesi,Huallanca
117,20509,Ancash,Bolognesi,Huasta
118,20510,Ancash,Bolognesi,Huayllacayan
119,20511,Ancash,Bolognesi,La Primavera
120,20512,Ancash,Bolognesi,Mangas
121,20513,Ancash,Bolognesi,Pacllon
122,20514,Ancash,Bolognesi,San Miguel de Corpanqui
123,20515,Ancash,Bolognesi,Ticllos
124,20601,Ancash,Carhuaz,Carhuaz
125,20602,Ancash,Carhuaz,Acopampa
126,20603,Ancash,Carhuaz,Amashca
127,20604,Ancash,Carhuaz,Anta
128,20605,Ancash,Carhuaz,Ataquero
129,20606,Ancash,Carhuaz,Marcara
130,20607,Ancash,Carhuaz,Pariahuanca
131,20608,Ancash,Carhuaz,San Miguel de Aco
132,20609,Ancash,Carhuaz,Shilla
133,20610,Ancash,Carhuaz,Tinco
134,20611,Ancash,Carhuaz,Yungar
135,20701,Ancash,Carlos Fermin Fitzca,San Luis
136,20702,Ancash,Carlos Fermin Fitzca,San Nicolas
137,20703,Ancash,Carlos Fermin Fitzca,Yauya
138,20801,Ancash,Casma,Casma
139,20802,Ancash,Casma,Buena Vista Alta
140,20803,Ancash,Casma,Comandante Noel
141,20804,Ancash,Casma,Yautan
142,20901,Ancash,Corongo,Corongo
143,20902,Ancash,Corongo,Aco
144,20903,Ancash,Corongo,Bambas
145,20904,Ancash,Corongo,Cusca
146,20905,Ancash,Corongo,La Pampa
147,20906,Ancash,Corongo,Yanac
148,20907,Ancash,Corongo,Yupan
149,21001,Ancash,Huari,Huari
150,21002,Ancash,Huari,Anra
151,21003,Ancash,Huari,Cajay
152,21004,Ancash,Huari,Chavin de Huantar
153,21005,Ancash,Huari,Huacachi
